"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,6.10672,2.85696,0,0,2.33731,0,0,0,-155.9
0.02,6.10354,2.85551,0.00349065,0.0467465,2.33733,0,-2.90239,0,-155.897
0.04,6.10035,2.85402,0.00701585,0.0934947,2.33737,0,-2.91365,0,-155.889
0.06,6.09714,2.85249,0.0105716,0.140246,2.33743,0,-2.92935,0,-155.876
0.08,6.09391,2.85091,0.014167,0.187001,2.33751,0,-2.95155,0,-155.857
0.1,6.09067,2.84928,0.0177978,0.233762,2.33762,0,-2.97921,0,-155.834
0.12,6.08741,2.8476,0.0214646,0.28053,2.33775,0,-3.01233,0,-155.804
0.14,6.08413,2.84587,0.0251674,0.327305,2.3379,0,-3.04991,0,-155.77
0.16,6.07775,2.84272,0.0322814,0.374094,2.33809,0,-3.1031,0,-155.73
0.18,6.06996,2.8389,0.0409559,0.420896,2.33831,0,-3.16681,0,-155.685
0.2,6.06215,2.83503,0.0496744,0.467712,2.33856,0,-3.23497,0,-155.634
0.22,6.05279,2.83043,0.060101,0.514547,2.33885,0,-3.31974,0,-155.579
0.24,6.04263,2.82545,0.0714214,0.561403,2.33918,0,-3.41603,0,-155.517
0.26,6.03182,2.82014,0.0834654,0.608281,2.33954,0,-3.52486,0,-155.451
0.28,6.01976,2.81425,0.0968907,0.655187,2.33995,0,-3.65129,0,-155.379
0.3,6.00708,2.80805,0.111004,0.702122,2.34041,0,-3.79226,0,-155.302
0.32,5.99336,2.80137,0.126256,0.749092,2.34091,0,-3.95181,0,-155.22
0.34,5.9787,2.79427,0.142545,0.796101,2.34147,0,-4.13398,0,-155.132
0.36,5.96341,2.78687,0.159535,0.84315,2.34208,0,-4.33268,0,-155.039
0.38,5.94689,2.77893,0.177861,0.890252,2.34277,0,-4.56104,0,-154.941
0.4,5.92955,2.77064,0.197081,0.937404,2.34351,0,-4.81095,0,-154.837
0.42,5.91141,2.76202,0.217171,0.984611,2.34431,0,-5.08338,0,-154.728
0.44,5.89238,2.75304,0.238209,1.03188,2.34518,0,-5.38235,0,-154.614
0.46,5.87232,2.74365,0.26036,1.07922,2.34613,0,-5.71187,0,-154.494
0.48,5.85132,2.73393,0.283504,1.12663,2.34715,0,-6.0719,0,-154.37
0.5,5.82942,2.72388,0.307596,1.17413,2.34826,0,-6.46239,0,-154.239
0.52,5.8066,2.71354,0.332647,1.22171,2.34945,0,-6.88631,0,-154.104
0.54,5.78285,2.70292,0.358666,1.26939,2.35072,0,-7.3426,0,-153.963
0.56,5.75815,2.69203,0.385659,1.31716,2.35207,0,-7.8322,0,-153.817
0.58,5.73251,2.68091,0.413611,1.36504,2.35351,0,-8.35403,0,-153.666
0.6,5.7059,2.66957,0.442531,1.41302,2.35504,0,-8.90703,0,-153.509
0.62,5.67835,2.65803,0.472401,1.46111,2.35664,0,-9.49011,0,-153.347
0.64,5.64975,2.6463,0.503316,1.50932,2.35831,0,-10.0992,0,-153.179
0.66,5.62015,2.63443,0.535201,1.55762,2.36004,0,-10.7261,0,-153.007
0.68,5.58961,2.62244,0.568013,1.60602,2.3618,0,-11.3628,0,-152.829
0.7,5.55812,2.61036,0.601741,1.65459,2.39292,0,-11.9447,0,-152.646
0.72,5.52559,2.59821,0.636461,1.70334,2.39123,0,-12.3848,0,-152.466
0.74,5.49212,2.58606,0.672079,1.75196,2.38965,0,-12.7849,0,-152.291
0.76,5.45775,2.5739,0.708527,1.80042,2.38825,0,-13.1145,0,-152.121
0.78,5.42234,2.56163,0.746007,1.84869,2.38708,0,-13.3531,0,-151.957
0.8,5.38611,2.54924,0.784301,1.89676,2.38619,0,-13.4711,0,-151.798
0.82,5.3489,2.53661,0.823595,1.94456,2.38572,0,-13.4041,0,-151.644
0.84,5.31091,2.52366,0.863725,1.99215,2.31535,0,-13.1907,0,-151.496
0.86,5.27301,2.51054,0.903839,1.94527,2.37061,0,-12.8653,0,-151.353
0.88,5.23603,2.49739,0.943081,1.89752,2.36992,0,-12.3818,0,-151.215
0.9,5.2002,2.4842,0.981267,1.84966,2.36896,0,-11.7813,0,-151.083
0.92,5.16535,2.47088,1.01858,1.80175,2.3678,0,-11.0919,0,-150.956
0.94,5.13168,2.45747,1.05482,1.75382,2.36651,0,-10.3452,0,-150.834
0.96,5.09904,2.44394,1.09015,1.70593,2.36516,0,-9.57822,0,-150.718
0.98,5.06746,2.43032,1.12454,1.65809,2.36382,0,-8.81187,0,-150.607
1,5.03703,2.41669,1.15788,1.61032,2.36251,0,-8.06806,0,-150.501
1.02,5.00762,2.40306,1.1903,1.56262,2.36127,0,-7.35566,0,-150.4
1.04,4.97923,2.38948,1.22176,1.51501,2.3601,0,-6.68052,0,-150.305
1.06,4.95186,2.37599,1.25228,1.46747,2.35903,0,-6.05247,0,-150.215
1.08,4.92559,2.36271,1.28172,1.42001,2.35807,0,-5.47632,0,-150.131
1.1,4.90029,2.3496,1.31022,1.37261,2.35721,0,-4.94678,0,-150.052
1.12,4.87595,2.33674,1.33774,1.32528,2.35643,0,-4.45952,0,-149.978
1.14,4.85257,2.32416,1.36429,1.278,2.35574,0,-4.01316,0,-149.909
1.16,4.83013,2.31189,1.38987,1.23076,2.35513,0,-3.60425,0,-149.846
1.18,4.80862,2.29996,1.41447,1.18357,2.35459,0,-3.22726,0,-149.788
1.2,4.78801,2.2884,1.4381,1.13641,2.35411,0,-2.87958,0,-149.735
1.22,4.76828,2.27721,1.46078,1.08928,2.35368,0,-2.55548,0,-149.688
1.24,4.74946,2.26646,1.48245,1.04218,2.35331,0,-2.25411,0,-149.646
1.26,4.73165,2.25619,1.50301,0.995108,2.35299,0,-1.97347,0,-149.609
1.28,4.71466,2.24636,1.52264,0.94805,2.3527,0,-1.70433,0,-149.578
1.3,4.69846,2.23694,1.54138,0.901009,2.35244,0,-1.44424,0,-149.552
1.32,4.68304,2.22797,1.55921,0.853984,2.35221,0,-1.18941,0,-149.531
1.34,4.66878,2.21964,1.57573,0.806975,2.35201,0,-0.941673,0,-149.515
1.36,4.65512,2.21167,1.59155,0.759979,2.35182,0,-0.683277,0,-149.505
1.38,4.64239,2.20423,1.60629,0.712998,2.35164,0,-0.417802,0,-149.5
1.4,4.63059,2.19737,1.61994,0.665714,2.375,0,-0.262,0,-149.5
1.42,4.6194,2.19083,1.6329,0.618214,2.375,0,-0.196,0,-149.5
1.44,4.60935,2.18495,1.64455,0.570714,2.375,0,-0.145,0,-149.5
1.46,4.59993,2.17942,1.65547,0.523214,2.375,0,-0.102,0,-149.5
1.48,4.59122,2.17431,1.66557,0.475714,2.375,0,-0.066,0,-149.5
1.5,4.58399,2.17006,1.67395,0.428214,2.375,0,-0.045,0,-149.5
1.52,4.57676,2.16581,1.68234,0.380714,2.375,0,-0.025,0,-149.5
1.54,4.57079,2.1623,1.68927,0.333214,2.375,0,-0.009,0,-149.5
1.56,4.5678,2.16053,1.69274,0.285714,2.375,0,-0.005,0,-149.5
1.58,4.56481,2.15877,1.69621,0.238214,2.375,0,0,0,-149.5
1.6,4.56182,2.15701,1.69968,0.190714,2.375,0,0.004,0,-149.5
1.62,4.55882,2.15524,1.70316,0.143214,2.375,0,0.008,0,-149.5
1.64,4.55583,2.15348,1.70663,0.0957142,2.375,0,0.012,0,-149.5
1.66,4.55284,2.15172,1.7101,0.0482142,2.375,0,0.016,0,-149.5
1.68,4.54985,2.14995,1.71358,0.000714206,2.375,0,0.02,0,-149.5
