"time","x","y","position","velocity","acceleration","jerk","heading","curvature","rotation"
0,5.21852,2.54383,0,0,1.80264,0,0,0,-149.5
0.02,5.21539,2.54376,0.00312985,0.0360529,1.80264,0,-29.9704,0,-149.498
0.04,5.21223,2.54372,0.0062877,0.072106,1.80265,0,-29.9795,0,-149.491
0.06,5.20902,2.54368,0.0094939,0.10816,1.80266,0,-29.9945,0,-149.481
0.08,5.20579,2.54365,0.0127284,0.144214,1.80267,0,-30.0141,0,-149.466
0.1,5.20251,2.54363,0.0160111,0.180269,1.80269,0,-30.0374,0,-149.447
0.12,5.19919,2.54363,0.0193322,0.216325,1.80271,0,-30.0665,0,-149.423
0.14,5.19584,2.54363,0.0226818,0.252383,1.80273,0,-30.1002,0,-149.396
0.16,5.19244,2.54365,0.0260798,0.288442,1.80276,0,-30.1377,0,-149.364
0.18,5.18538,2.5436,0.0331363,0.324504,1.8028,0,-30.1914,0,-149.328
0.2,5.17753,2.54355,0.0409914,0.360568,1.80284,0,-30.2509,0,-149.287
0.22,5.16962,2.5435,0.0488949,0.396634,1.80288,0,-30.3151,0,-149.243
0.24,5.16068,2.54346,0.0578369,0.432704,1.80293,0,-30.3903,0,-149.194
0.26,5.15043,2.5434,0.0680875,0.468778,1.80299,0,-30.4797,0,-149.141
0.28,5.14014,2.54336,0.0783766,0.504855,1.80305,0,-30.5728,0,-149.083
0.3,5.12829,2.54331,0.0902343,0.540938,1.80313,0,-30.6863,0,-149.022
0.32,5.11609,2.54327,0.102431,0.577026,1.80321,0,-30.8088,0,-148.956
0.34,5.10285,2.54323,0.115666,0.613121,1.8033,0,-30.9507,0,-148.886
0.36,5.08902,2.54321,0.129499,0.649224,1.8034,0,-31.1068,0,-148.811
0.38,5.07415,2.5432,0.144372,0.685334,1.80351,0,-31.2824,0,-148.733
0.4,5.05884,2.54321,0.159683,0.721453,1.80363,0,-31.4689,0,-148.65
0.42,5.04225,2.54325,0.176273,0.757584,1.80377,0,-31.6822,0,-148.563
0.44,5.02516,2.54333,0.193363,0.793725,1.80392,0,-31.9108,0,-148.471
0.46,5.00728,2.54343,0.211241,0.829879,1.80408,0,-32.1609,0,-148.376
0.48,4.9884,2.5436,0.230119,0.86605,1.80427,0,-32.442,0,-148.276
0.5,4.96887,2.54383,0.249656,0.902236,1.80447,0,-32.7445,0,-148.172
